n,fib,runtime
,,
2,1,3.14258077992215e-06
3,2,3.10600896365307e-06
4,3,3.07533582742739e-06
5,5,4.06543769939797e-06
6,8,3.55201804600926e-06
7,13,3.23422941442505e-06
8,21,1.50807116088636e-06
9,34,3.96135271101877e-06
10,55,3.71151689679393e-06
11,89,1.54285875215189e-06
12,144,2.61877799206817e-06
13,233,2.9805794312102e-06
14,377,2.92432961831633e-06
15,610,2.83466968165664e-06
16,987,1.55229664022133e-06
17,1597,1.64195657688102e-06
18,2584,1.44949781509925e-06
19,4181,1.63612676791272e-06
20,6765,2.44552080143733e-06
21,10946,1.65748375938897e-06
22,17711,1.54993716820397e-06
23,28657,1.51825957103375e-06
24,46368,1.59511094531348e-06
25,75025,1.39792649814838e-06
26,121393,1.65814332851749e-06
27,196418,2.16411275447608e-06
28,317811,2.80902415482139e-06
29,514229,3.41147003719137e-06
30,832040,1.39421201505819e-06
31,1346269,3.37970771766686e-06
32,2178309,1.55819532026473e-06
33,3524578,1.44444180363348e-06
34,5702887,1.58196531550248e-06
35,9227465,1.65021472894178e-06
