n,fib,runtime
,,
2,1,1.56291426429945e-06
3,2,1.65842569156219e-06
4,3,4.10047922953008e-06
5,5,5.43040762287463e-06
6,8,4.69416171363155e-06
7,13,3.04530548790265e-06
8,21,3.98755791087115e-06
9,34,1.34900784059489e-05
10,55,1.55234113312223e-05
11,89,1.30980388049206e-05
12,144,1.82379636631494e-05
13,233,5.23876701419494e-05
14,377,4.6591987712817e-05
15,610,0.000124107787678374
16,987,0.00021844116516844
17,1597,0.00019189293342661
18,2584,0.00028854143744396
19,4181,0.000467844228185936
20,6765,0.000780271355892679
21,10946,0.00122878697807016
22,17711,0.00196695251764536
23,28657,0.0032178926728654
24,46368,0.00511749887509812
25,75025,0.00880750547671207
26,121393,0.0194669771505332
27,196418,0.0326168337871259
28,317811,0.0467343523685343
29,514229,0.0756164133858397
30,832040,0.140655448302137
31,1346269,0.178287111087756
32,2178309,0.339188724049253
33,3524578,0.649841462733725
34,5702887,0.729312906647924
35,9227465,1.05088006739558
